index,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price
69,East Downtown,78702,30.26071,-97.73258,Bungalow,Entire home/apt,4,1,2,3,225
70,Upper Boggy Creek,78722,30.29808,-97.71339,House,Private room,8,2,4,6,600
71,West Austin,78703,30.28408,-97.76828,Bungalow,Entire home/apt,5,2,3,3,500
72,Windsor Park,78723,30.30419,-97.68914,House,Entire home/apt,12,2,3,5,508
73,Highland,78752,30.32373,-97.71629,House,Private room,2,1,1,1,47
74,University of Texas,78705,30.29269,-97.74345,Condominium,Entire home/apt,4,1,1,1,45
75,Wooten,78757,30.35669,-97.72658,House,Entire home/apt,8,2,4,6,199
76,Travis Heights,78704,30.24666,-97.7476,House,Entire home/apt,6,1,2,2,112
77,Zilker,78704,30.25456,-97.77551,Guesthouse,Entire home/apt,4,1,1,1,85
78,Travis Heights,,30.24613,-97.74528,House,Entire home/apt,4,1,2,3,77
79,Hyde Park,78751,30.30326,-97.73057,Bungalow,Entire home/apt,2,1,1,1,119
80,Hyde Park,78751,30.3022,-97.73013,House,Private room,2,1,1,1,60
81,Downtown,78701,30.27509,-97.74851,House,Entire home/apt,5,1,3,3,260
82,,78704,30.24395,-98.00244,House,Entire home/apt,6,2,3,5,295
83,Hyde Park,78751,30.30226,-97.73143,Bungalow,Entire home/apt,4,1,2,3,136
84,Hyde Park,78751,30.30242,-97.72954,Bungalow,Entire home/apt,2,1,1,2,119
85,McKinney,78744,30.16127,-97.7843,House,Entire home/apt,10,2.5,4,6,199
86,East Downtown,78702,30.25582,-97.72709,Guesthouse,Entire home/apt,3,1,0,1,107
87,University of Texas,78705,30.30219,-97.74143,Guesthouse,Entire home/apt,2,1,1,1,129
88,Upper Boggy Creek,78722,30.28917,-97.71148,House,Entire home/apt,2,1,1,1,100
89,Barton Hills,78704,30.2515,-97.78206,House,Entire home/apt,8,2,4,4,373
90,,78732,30.41813,-97.88915,House,Entire home/apt,6,2.5,2,2,105
91,Barton Hills,78704,30.2521,-97.78382,House,Entire home/apt,8,3,4,6,699
92,Galindo,78704,30.24154,-97.76121,House,Entire home/apt,2,1,1,1,69
93,Rollingwood,78746,30.27728,-97.79113,Bungalow,Entire home/apt,8,3,4,6,800
94,Cherry Creek,78745,30.19318,-97.82095,House,Entire home/apt,6,2,3,3,129
95,Highland,78752,30.33107,-97.7142,House,Entire home/apt,10,2,4,6,350
96,Galindo,78704,30.23908,-97.77182,House,Entire home/apt,6,1,2,2,700
97,Zilker,78704,30.25784,-97.76114,House,Entire home/apt,6,2,2,4,270
98,Zilker,78704,30.25836,-97.76723,House,Entire home/apt,10,2.5,4,6,700
99,Travis Heights,78704,30.24776,-97.74527,Guesthouse,Entire home/apt,2,1,1,1,85
100,Old West Austin,78703,30.27571,-97.75819,Loft,Private room,2,1,1,1,300
